[4;33mReloaded modules[24m: Models, CustomOptimizers[0m
Versione tensorfolow: 2.1.0

SGD-HD, alpha_0=0.1, beta= 0.0001 (MNIST).
Epoch 1, Loss: 0.56469, Accuracy: 85.12, Test Loss: 0.37094, Test Accuracy: 90.06, Time:   6.3s
Epoch 2, Loss: 0.36858, Accuracy: 89.69, Test Loss: 0.32854, Test Accuracy: 90.99, Time:   6.3s
Epoch 3, Loss: 0.33867, Accuracy: 90.44, Test Loss: 0.31141, Test Accuracy: 91.35, Time:   6.2s
Epoch 4, Loss: 0.32326, Accuracy: 90.85, Test Loss: 0.30253, Test Accuracy: 91.52, Time:   6.2s
Epoch 5, Loss: 0.31328, Accuracy: 91.08, Test Loss: 0.29687, Test Accuracy: 91.62, Time:   6.2s
Epoch 6, Loss: 0.30627, Accuracy: 91.32, Test Loss: 0.29109, Test Accuracy: 91.71, Time:   6.3s
Epoch 7, Loss: 0.30066, Accuracy: 91.52, Test Loss: 0.28677, Test Accuracy: 91.82, Time:   6.3s
Epoch 8, Loss: 0.29657, Accuracy: 91.6, Test Loss: 0.28662, Test Accuracy: 91.99, Time:   6.2s
Epoch 9, Loss: 0.29301, Accuracy: 91.73, Test Loss: 0.28339, Test Accuracy: 92.1, Time:   6.2s
Epoch 10, Loss: 0.2898, Accuracy: 91.84, Test Loss: 0.28143, Test Accuracy: 91.93, Time:   6.2s
Epoch 11, Loss: 0.28719, Accuracy: 91.95, Test Loss: 0.27932, Test Accuracy: 92.1, Time:   6.3s
Epoch 12, Loss: 0.28504, Accuracy: 91.96, Test Loss: 0.27918, Test Accuracy: 92.11, Time:   6.3s
Epoch 13, Loss: 0.28292, Accuracy: 92.09, Test Loss: 0.27746, Test Accuracy: 92.22, Time:   6.2s
Epoch 14, Loss: 0.2811, Accuracy: 92.12, Test Loss: 0.27552, Test Accuracy: 92.26, Time:   6.3s
Epoch 15, Loss: 0.27941, Accuracy: 92.16, Test Loss: 0.27468, Test Accuracy: 92.11, Time:   6.6s
Epoch 16, Loss: 0.27806, Accuracy: 92.19, Test Loss: 0.27528, Test Accuracy: 92.1, Time:   6.4s
Epoch 17, Loss: 0.27671, Accuracy: 92.24, Test Loss: 0.27421, Test Accuracy: 92.22, Time:   6.4s
Epoch 18, Loss: 0.27538, Accuracy: 92.27, Test Loss: 0.2727, Test Accuracy: 92.27, Time:   6.4s
Epoch 19, Loss: 0.27424, Accuracy: 92.31, Test Loss: 0.27281, Test Accuracy: 92.25, Time:   6.6s
Epoch 20, Loss: 0.27316, Accuracy: 92.4, Test Loss: 0.2721, Test Accuracy: 92.25, Time:   6.3s
Epoch 21, Loss: 0.27193, Accuracy: 92.4, Test Loss: 0.27158, Test Accuracy: 92.3, Time:   6.3s
Epoch 22, Loss: 0.27102, Accuracy: 92.43, Test Loss: 0.27181, Test Accuracy: 92.16, Time:   6.2s
Epoch 23, Loss: 0.27022, Accuracy: 92.48, Test Loss: 0.27173, Test Accuracy: 92.24, Time:   6.3s
Epoch 24, Loss: 0.26924, Accuracy: 92.52, Test Loss: 0.27066, Test Accuracy: 92.26, Time:   6.3s
Epoch 25, Loss: 0.2685, Accuracy: 92.53, Test Loss: 0.27006, Test Accuracy: 92.32, Time:   6.3s
Epoch 26, Loss: 0.26748, Accuracy: 92.58, Test Loss: 0.27051, Test Accuracy: 92.28, Time:   6.4s
Epoch 27, Loss: 0.26707, Accuracy: 92.59, Test Loss: 0.26896, Test Accuracy: 92.38, Time:   6.4s
Epoch 28, Loss: 0.26622, Accuracy: 92.61, Test Loss: 0.26934, Test Accuracy: 92.26, Time:   6.4s
Epoch 29, Loss: 0.26569, Accuracy: 92.64, Test Loss: 0.26957, Test Accuracy: 92.37, Time:   6.1s
Epoch 30, Loss: 0.26507, Accuracy: 92.63, Test Loss: 0.26905, Test Accuracy: 92.22, Time:   6.3s
Epoch 31, Loss: 0.26438, Accuracy: 92.61, Test Loss: 0.26829, Test Accuracy: 92.4, Time:   6.3s
Epoch 32, Loss: 0.26382, Accuracy: 92.7, Test Loss: 0.26826, Test Accuracy: 92.24, Time:   6.2s
Epoch 33, Loss: 0.26329, Accuracy: 92.72, Test Loss: 0.26869, Test Accuracy: 92.45, Time:   6.2s
Epoch 34, Loss: 0.26278, Accuracy: 92.71, Test Loss: 0.26807, Test Accuracy: 92.36, Time:   6.4s
Epoch 35, Loss: 0.26209, Accuracy: 92.76, Test Loss: 0.26759, Test Accuracy: 92.46, Time:   6.3s
Epoch 36, Loss: 0.26176, Accuracy: 92.72, Test Loss: 0.26754, Test Accuracy: 92.37, Time:   6.2s
Epoch 37, Loss: 0.26135, Accuracy: 92.73, Test Loss: 0.26684, Test Accuracy: 92.24, Time:   6.2s
Epoch 38, Loss: 0.26064, Accuracy: 92.76, Test Loss: 0.2683, Test Accuracy: 92.27, Time:   6.1s
Epoch 39, Loss: 0.26028, Accuracy: 92.78, Test Loss: 0.26675, Test Accuracy: 92.38, Time:   6.2s
Epoch 40, Loss: 0.25984, Accuracy: 92.82, Test Loss: 0.26692, Test Accuracy: 92.43, Time:   6.1s
Epoch 41, Loss: 0.25953, Accuracy: 92.81, Test Loss: 0.26655, Test Accuracy: 92.45, Time:   6.4s
