Versione tensorfolow: 2.1.0

Adam-HD, alpha_0=0.1, beta= 10^-4 (MNIST).
Epoch 4, Loss: 0.27213, Accuracy: 92.35, Test Loss: 0.27396, Test Accuracy: 91.95, Time:   11.4s
Epoch 5, Loss: 0.26811, Accuracy: 92.54, Test Loss: 0.26624, Test Accuracy: 92.49, Time:   11.3s
Epoch 6, Loss: 0.26398, Accuracy: 92.6, Test Loss: 0.2673, Test Accuracy: 92.47, Time:   11.3s
Epoch 7, Loss: 0.26357, Accuracy: 92.62, Test Loss: 0.2671, Test Accuracy: 92.63, Time:   11.5s
Epoch 8, Loss: 0.25989, Accuracy: 92.75, Test Loss: 0.27343, Test Accuracy: 92.16, Time:   12.1s
Epoch 9, Loss: 0.25968, Accuracy: 92.81, Test Loss: 0.27675, Test Accuracy: 92.35, Time:   14.9s
Epoch 10, Loss: 0.26348, Accuracy: 92.58, Test Loss: 0.27817, Test Accuracy: 91.99, Time:   12.6s
Epoch 11, Loss: 0.26059, Accuracy: 92.76, Test Loss: 0.27237, Test Accuracy: 92.34, Time:   11.2s
Epoch 12, Loss: 0.2578, Accuracy: 92.84, Test Loss: 0.27572, Test Accuracy: 92.34, Time:   11.9s
Epoch 13, Loss: 0.25745, Accuracy: 92.88, Test Loss: 0.27101, Test Accuracy: 92.33, Time:   11.9s
Epoch 14, Loss: 0.26012, Accuracy: 92.76, Test Loss: 0.26559, Test Accuracy: 92.62, Time:   11.6s
Epoch 15, Loss: 0.2585, Accuracy: 92.81, Test Loss: 0.27076, Test Accuracy: 92.35, Time:   11.4s
Epoch 16, Loss: 0.2586, Accuracy: 92.79, Test Loss: 0.27158, Test Accuracy: 92.09, Time:   11.9s
Epoch 17, Loss: 0.25482, Accuracy: 92.9, Test Loss: 0.26974, Test Accuracy: 92.5, Time:   11.9s
Epoch 18, Loss: 0.25159, Accuracy: 92.97, Test Loss: 0.27011, Test Accuracy: 92.48, Time:   11.2s
Epoch 19, Loss: 0.25785, Accuracy: 92.8, Test Loss: 0.27063, Test Accuracy: 92.41, Time:   11.3s
Epoch 20, Loss: 0.2523, Accuracy: 92.93, Test Loss: 0.3031, Test Accuracy: 91.33, Time:   11.1s
